term,pos,notes,is_case_sensitive,translation_af,notes_af,translation_ar,notes_ar,translation_ar_eg,notes_ar_eg,translation_ar_iq,notes_ar_iq,translation_az,notes_az,translation_az_az,notes_az_az,translation_bn,notes_bn,translation_bn_bd,notes_bn_bd,translation_bn_in,notes_bn_in,translation_ca,notes_ca,translation_cmn,notes_cmn,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_es,notes_es,translation_es_419,notes_es_419,translation_es_ar,notes_es_ar,translation_es_co,notes_es_co,translation_es_es,notes_es_es,translation_es_mx,notes_es_mx,translation_et,notes_et,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_hi,notes_hi,translation_hi_in,notes_hi_in,translation_hu,notes_hu,translation_id,notes_id,translation_id_id,notes_id_id,translation_it,notes_it,translation_it_it,notes_it_it,translation_ja,notes_ja,translation_ka,notes_ka,translation_kn,notes_kn,translation_ko,notes_ko,translation_ko_kr,notes_ko_kr,translation_ky,notes_ky,translation_lo_la,notes_lo_la,translation_lt,notes_lt,translation_mn,notes_mn,translation_mr,notes_mr,translation_mr_in,notes_mr_in,translation_ms,notes_ms,translation_my,notes_my,translation_nb,notes_nb,translation_ne,notes_ne,translation_nl,notes_nl,translation_pa,notes_pa,translation_pl,notes_pl,translation_pl_pl,notes_pl_pl,translation_ps,notes_ps,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_pt_mz,notes_pt_mz,translation_pt_pt,notes_pt_pt,translation_ro,notes_ro,translation_ru,notes_ru,translation_ru_ru,notes_ru_ru,translation_si_lk,notes_si_lk,translation_sq_al,notes_sq_al,translation_sv,notes_sv,translation_te,notes_te,translation_tr,notes_tr,translation_tzm,notes_tzm,translation_uk,notes_uk,translation_uk_ua,notes_uk_ua,translation_ur,notes_ur,translation_vi,notes_vi,translation_zh,notes_zh,translation_zh-hans,notes_zh-hans,translation_zh_cn,notes_zh_cn,translation_zh_hk,notes_zh_hk,translation_zh_sg,notes_zh_sg,translation_zh_tw,notes_zh_tw
exception handling,noun,,false,,,,,,,,,,,,,,,,,,,,,,,obsluha výjimek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penanganan pengecualian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tratamento de exceções,,,,exception handling||exceções,,,,обработка исключений,,,,,,,,,,,,,,,,обробка винятків,,exception handling,,,,,,,,,,异常处理,,,,,,,
execution frame,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kerangka eksekusi,,,,,,,,実行フレーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quadro de execução,,,,frame de execução,,,,кадр исполнения,,,,,,,,,,,,,,,,,,execution frame,,,,,,,,,,执行帧,执行帧,,,,,,
exit status,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kod wyjścia,,,,,,,,status de saída,,,,estado de saída,,,,код завершения||статус выхода,,,,,,,,,,,,,,,,,,exit status,,,,,,,,,,退出状态码,,,,,,,
explicit,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eksplisit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explícito||explícita||explícitos||explícitas,,,,explícito||explicit||explícitos||explícita||explícitas||explicitamente,,,,явный,,,,,,,,,,,,,,,,явно,,explicit,,,,,,,,,,显式,,,,,,,
expression||expressions,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,式,https://docs.python.org/ja/3/reference/expressions.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expressão||expressões,,,,expressão||expressões||expression||expressions,,,,выражение,,,,,,,,,,,,,,,,вираз,,expression||expressions,,,,,,,,,,表达式,,,,,,,
extend,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,estender||prolongar||estendem||prolongam||estende,"Estender (com ‘s’) uma classe, ou prolongar – uma lista, por exemplo",,,estender||estende||estendem||extend||Estendido||Estendida||Estendidos||Estendidas||estenda,,,,расширять,,,,,,,,,,,,,,,,розширити||розширювати,,extend,,,,,,,,,,扩展,,,,,,延伸,
extension||extensions,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拡張||拡張子,,,,,,확장 모듈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extensão||extensões,,,,extensão||extensões,,,,расширение,,,,,,,,,,,,,,,,розширення,,extension||extensions,,,,,,,,,,扩展,,,,,,,
f-string||f-strings,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-string||f-strings,,,,f-string||f-strings,,,,f-строка,,,,,,,,,,,,,,,,f-рядок,,f-string||f-strings,,,,,,,,,,f-字符串,,,,,,,
file descriptor,noun,commonly abbreviated as 'fd',false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ファイル記述子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descritor de arquivo,,,,descritor de ficheiro||descritores de ficheiro,,,,файловый дескриптор,,,,,,,,,,,,,,,,файловий дескриптор,,file descriptor,,,,,,,,,,文件描述符,,,,,,,
filesystem||filesystems,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sistema de arquivos||sistemas de arquivos,,,,sistema de ficheiros||sistemas de ficheiros,,,,файловая система,,,,,,,,,,,,,,,,файлова система,,filesystem||filesystems,,,,,,,,,,文件系统,,,,,,,
finalization,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finalização,,,,finalização||Finalization,,,,финализация||завершение,,,,,,,,,,,,,,,,,,finalization,,,,,,,,,,终结,,,,,,,
finalize||finalizes,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了処理||ファイナライズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finalizar||finaliza||finalizam||finalizem||finalize,,,,finaliza||finalizados||finalizar||finalizará,,,,финализировать||завершить,,,,,,,,,,,,,,,,,,finalize||finalizes,,,,,,,,,,完成,终结，销毁,,,,,,
finalizer||finalizers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ファイナライザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finalizador||finalizadores||finalizadora||finalizadoras,,,,finalizador||finalizadores||finalizadora||finalizadoras||finalizer,,,,финализатор,,,,,,,,,,,,,,,,,,finalizer||finalizers,,,,,,,,,,终结器,,,,,,,
finder||finders,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localizador||localizadores,,,,localizador||localizadores||finders||finder,,,,искатель,,,,,,,,,,,,,,,,шукач,,finder||finders,,,,,,,,,,查找器,,,,,,,
flag||flags,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,フラグ||旗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinalizador||sinalizadores,,,,flag||flags,,,,флаг,,,,,,,,,,,,,,,,прапор||мітка,,flag||flags,,,,,,,,,,旗标||标志||标志位,在正则表达式中，通用的翻译是「标志」。,,,,,,
floor division,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,切り捨て除算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,divisão pelo piso,https://github.com/pythonprobr/pydocbr/blob/master/2.7/Doc/tutorial/TERMINOLOGIA.rst,,,divisão inteira||divisão por baixo,,,,"целочисленное деление с округлением вниз||округление в ""пол""",,,,,,,,,,,,,,,,цілочисельне ділення||ділення з округленням донизу,,floor division,,,,,,,,,,向下取整除法,,,,,,,
fork||forks,verb,An operation whereby a process creates a copy of itself.,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,criar um fork,Uma operação na qual um processo cria uma cópia de si próprio.,,,fork||forks||bifurcar||bifurcação||Cria,,,,разветвить,,,,,,,,,,,,,,,,форк,,fork||forks,,,,,,,,,,分叉进程,,,,,,,
format,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,書式||形式||フォーマット,文字列の *format* は「書式」、構造の *format* は「形式」と訳し分ける方針を取る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formato,,,,formatação||formato||format||Formatados||Formatado||formate||formatos,,,,формат,,,,,,,,,,,,,,,,формат,,format,,,,,,,,,,格式,,,,,,,
format,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整形||フォーマット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formatar||formatação,,,,formatar||formata||format||Formatados||Formatado||formatos||formato,,,,форматировать||отформатировать,,,,,,,,,,,,,,,,форматувати,,format,,,,,,,,,,格式化,,,,,,,
format specifier,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,書式指定子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especificador de formato,,,,especificador de formato||format specifier,,,,спецификатор формата,,,,,,,,,,,,,,,,вказівник формату,,format specifier,,,,,,,,,,格式说明符,,,,,,,
format string,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,書式文字列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,string de formato,,,,string de formatação||string de formato||*string* de formato,,,,строка формата,,,,,,,,,,,,,,,,,,format string,,,,,,,,,,格式字符串,,,,,,,
formatted string literal||formatted string literals,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,フォーマット済み文字列リテラル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literal de string formatada||literais de strings formatadas,,,,literal de string formatado||literais de string formatados||literais de string formatadas||literal de string formatada||Literais de *string* formatadas||formatted string literal||formatted string literals,,,,форматированный строковый литерал,,,,,,,,,,,,,,,,форматований строковий літерал,,formatted string literal||formatted string literals,,,,,,,,,,格式字符串字面值,,,,,,,
frame||frames,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quadro||quadros,,,,frame||frames,,,,кадр,,,,,,,,,,,,,,,,фрейм,,frame||frames,,,,,,,,,,帧,,,,,,,
framework,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,framework||frameworków,,,,,,,,framework,,,,framework,,,,фреймворк,,,,,,,,,,,,,,,,фреймворк,,framework,,,,,,,,,,框架,,,,,,,
function||functions,noun,,false,,,دالّة,,,,,,,,,,,,,,,,,,,,,,,,,,συνάρτηση,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関数||機能,,,,,,함수,,,,,,,,,,,,,,,,,,,,,,,,,,,,funkcja||funkcje,,,,,,,,função||funções,,,,função||funções||functions||function,,,,функция,,,,,,,,,,,,fonksiyon,,,,функція,,function||functions,,,,,,,,,,函数,,,,,,,
garbage collection,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ガベージコレクション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,odśmiecanie pamięci,,,,,,,,coleta de lixo,,,,recolha de lixo||coleta de lixo||Coleta Cíclica de Lixo||recolha completa de lixo||garbage collection||recolha automática de lixo,,,,сбор мусора,,,,,,,,,,,,,,,,збирання сміття,,garbage collection,,,,,,,,,,垃圾回收,,,,,,,
garbage collector,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ガベージコレクタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moduł odśmiecający pamięć,,,,,,,,coletor de lixo,,,,coletor de lixo||recolhedor de lixo||garbage collector||recolhedor automático de lixo,,,,сборщик мусора,,,,,,,,,,,,,,,,прибиральник сміття,,garbage collector,,,,,,,,,,垃圾回收器,,,,,,,
generator||generators,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジェネレータ,,,,,,제너레이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,generator,,,,,,,,gerador||geradora||geradores||geradoras,,,,gerador||geradores||geradora||generator,,,,генератор,,,,,,,,,,,,,,,,генератор,,generator||generators,,,,,,,,,,生成器,,,,,,,
generic||generics,noun,"Generic (n.) – a type that can be parameterized, typically a container. Also known as a parametric type or a generic type. For example: dict. See PEP 585.",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジェネリック||汎用,"Pythonに限定されない型理論の文脈では「総称的」、Pythonのtypingモジュールの文脈では「ジェネリック」を訳語として使う。
ただし文章の分かりやすさを考慮して、それ以外の訳語を当てる場合もある。",,,,,제네릭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genérico||genéricos||genérica||genéricas,,,,genérico||genéricos||genéricas||genérica||generic,,,,обобщённый,,,,,,,,,,,,,,,,узагальнений,,generic||generics,,,,,,,,,,泛型,,,,,,,
global interpreter lock,noun,"abbreviated to ""GIL""",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trava global do interpretador,abreviado para GIL em razão do termo original,,,trava global do interpretador||bloqueio global do interpretador||global interpreter lock,,,,глобальная блокировка интерпретатора,,,,,,,,,,,,,,,,глобальне блокування інтерпретатора,,global interpreter lock,,,,,,,,,,全局解释器锁,,,,,,,
greedy,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chciwy,,,,,,,,guloso,"No contexto de algoritmos, ou performance de expressões regulares",,,ganancioso||gananciosa||gananciosas||gananciosos,,,,жадный,,,,,,,,,,,,,,,,жадібний,,greedy,,,,,,,,,,贪婪,,,,,,,
handle||handles,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identificador||identificadores,,,,identificadores||identificador||lidar||manipular||Manipula||tratar||manipuladores||manipulador||trate||trata||handle||handles||processe||tratá-los||tratam||tratá-la||tratá-lo||tratá-las||Tratadas||tratado||tratados||tratada||tratadas||lide||descritores||Tratamento,,,,хэндл||дескриптор,,,,,,,,,,,,,,,,,,handle||handles,,,,,,,,,,句柄,一个指向操作系统所管理的对象的地址。此地址不能直接从内存中取得对象，而是向操作系统发出请求，由操作系统检索并提供。,,,,,,
handle||handles,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manipular||manipula||lidar||lida||tratar||trata,ou tratar dependendo do contexto,,,manusear||manuseia||lidar||lida||manipular||tratá-los||tratam||tratá-la,,,,обработать,,,,,,,,,,,,,,,,,,handle||handles,,,,,,,,,,处理,动词的“处理”，字面意思。,,,,,,
handler||handlers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manipulador||tratador||manipuladores||tratadores,,,,tratador||tratadores||tratamentos||manipulador||manipuladores||Gestores||Gestor||handlers||handler,,,,обработчик,,,,,,,,,,,,,,,,,,handler||handlers,,,,,,,,,,处理器,"相比普通的函数，特指因指定事件发生而被调用的处理流程。
在 logging 模块中，译为“（日志）处理器”。",,,,,,
hard link||hard links||hardlink||hardlinks,,https://en.wikipedia.org/wiki/Hard_link,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,link físico||links físicos,https://pt.wikipedia.org/wiki/Link_físico,,,link físico||links físicos||ligação física||ligações físicas||hard links||hardlinks||hard link||hardlink,,,,жёсткая ссылка,,,,,,,,,,,,,,,,,,hard link||hard links||hardlink||hardlinks,,,,,,,,,,硬链接,,,,,,,
harmonic mean,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,調和平均,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,średnia harmoniczna,"Pojęcie statystyczne.
https://pl.wikipedia.org/wiki/%C5%9Arednia_harmoniczna",,,,,,,média harmônica,,,,média harmónica,,,,среднее гармоническое,,,,,,,,,,,,,,,,гармонічне середнє,,harmonic mean,,,,,,,,,,调和均值,,,,,,,
hash-based pyc,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyc baseado em hash,,,,pyc baseado em hash,,,,pyc на основе хэша,,,,,,,,,,,,,,,,,,hash-based pyc,,,,,,,,,,基于哈希的 pyc,,,,,,,
hashable,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ハッシュ可能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hasheável||hasheáveis,"Para :term:`hashable`, use somente ""hasheável"" para evitar warnings ao construir a documentação",,,hashável||hashable||hasháveis,,,,хэшируемый,,,,,,,,,,,,,,,,хешований,,hashable,,,,,,,,,,可哈希,,,,,,,
heap,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ヒープ,,,,,,힙,,,,,,,,,,,,,,,,,,,,,,,,,,,,kopiec,Heap data structure,,,,,,,heap,,,,heap,,,,куча,,,,,,,,,,,,,,,,купа,,heap,,,,,,,,,,堆,,,,,,,
hexversion,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,十六進数での,,,,,,16진수 버전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,versão hexadecimal||hexversion,,,,шестнадцатеричная версия,,,,,,,,,,,,,,,,,,hexversion,,,,,,,,,,十六进制版本,,,,,,,
idempotent,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idempotente||idempotentes,,,,idempotente||idempotentes,,,,идемпотентный,,,,,,,,,,,,,,,,,,idempotent,,,,,,,,,,幂等的,,,,,,,
identifier||identifiers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,識別子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identificador||identificadores,,,,identificador||identificadores,,,,идентификатор,,,,,,,,,,,,,,,,ідентифікатор,,identifier||identifiers,,,,,,,,,,标识符,,,,,,,
immutable,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,neměnný,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tidak bisa diubah,,,,,,,,不変||イミュータブル,,,,,,불변,,,,,,,,,,,,,,,,,,,,,,,,,,,,niemutowalny||niemutowalne,,,,,,,,imutável||imutáveis,,,,imutável||imutáveis||Immutable,,,,неизменяемый,,,,,,,,,,,,,,,,немутабельний,,immutable,,,,,,,,,,不可变,,,,,,,
implement||implements,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wdraża,,,,,,,,implementar||implementam||implementarem||implementa||implemente,,,,implementa||implementar||implemente||implementam||implementassem||Implementado||Implementada||Implementados||Implementadas||implementação||implementá-lo||implementá-los||implementá-la||implementá-las,,,,реализовать,,,,,,,,,,,,,,,,реалізувати,,implement||implements,,,,,,,,,,实现,,,,,,,
implementation||implementations,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wdrożenie,,,,,,,,implementação||implementações,,,,implementação||implementações||implementation,,,,реализация,,,,,,,,,,,,,,,,реалізація,,implementation||implementations,,,,,,,,,,实现,,,,,,,
implicit,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domyślny,,,,,,,,implícito||implícita||implícitos||implícitas,,,,implícito||implícita||implícitas||implícitos,,,,неявный,,,,,,,,,,,,,,,,неявно,,implicit,,,,,,,,,,隐式,,,,,,,
import||imports,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インポート||import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,importação||importações||import,"Tradução ""import"" usada para blocos de código.",,,importação||importações||importem||import||imports||Importe||importados||importaria||importassem,,,,импорт,,,,,,,,,,,,,,,,імпортувати,,import||imports,,,,,,,,,,导入,,,,,,,
import path||import paths,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caminho de importação||caminhos de importação,,,,caminho de importação||caminhos de importação,,,,путь импорта,,,,,,,,,,,,,,,,,,import path||import paths,,,,,,,,,,导入路径,,,,,,,
importer||importers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,importador||importadores,módulo que faz a importação,,,importador||importadores,,,,импортер,,,,,,,,,,,,,,,,імпортер,,importer||importers,,,,,,,,,,导入器,,,,,,,
in place,adverb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インプレースで,"現場で。オブジェクト操作で、元のオブジェクトを直接書き換える(例 list.sort, list.appendメソッド)場合によく使われる表現。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,internamente,,,,localmente||no local||*in-place*||in-place||em vez||local||no lugar,,,,на месте,,,,,,,,,,,,,,,,,,in place,,,,,,,,,,就地,,,,,,,
indent,verb,,false,,,,,,,,,,,,,,,,,,,,,,,odsazeni; odsazení od kraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wciąć,,,,,,,,indentar||indentam,Conforme o dicionário Aulete,,,indentar||indentação,,,,индентировать||отступить||увеличить отступ,,,,,,,,,,,,,,,,відступати,,indent,,,,,,,,,,缩进,,,,,,,
indented,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wcięty(-a),,,,,,,,indentação,Conforme o dicionário Aulete,,,indentado||indentada||indentadas||indentados,,,,индентированный,,,,,,,,,,,,,,,,з відступами,,indented,,,,,,,,,,缩进,,,,,,,
index,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インデックス||添字||索引,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indeks,,,,,,,,índice||índices,,,,índice||index||indexar||índices||indice,,,,индекс,,,,,,,,,,,,,,,,індекс,,index,,,,,,,,,,索引,,,,,,,
indexing,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インデックス指定,シーケンスに対する添え字を指定した要素アクセスのこと。（例: ...indexing a string produces strings of length 1...  /  A memoryview supports slicing and indexing...）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indeksowanie,,,,,,,,indexação,,,,indexação||indexar||indexando,,,,индексация||индексирование,,,,,,,,,,,,,,,,індексування,,indexing,,,,,,,,,,索引,,,,,,,
